ticker,set,fold,model,RMSE,DirAcc
AAPL,raw lags (baseline),2022,Ridge,0.022694390608331946,0.5139442231075697
AAPL,raw lags (baseline),2022,XGB,0.022368256531410696,0.47410358565737054
AAPL,raw lags (baseline),2023,Ridge,0.01310004178349027,0.508
AAPL,raw lags (baseline),2023,XGB,0.012758660085269602,0.532
AAPL,raw lags (baseline),2024,Ridge,0.014293226728490514,0.508
AAPL,raw lags (baseline),2024,XGB,0.014200583648376007,0.548
AAPL,EMA3-denoised lags,2022,Ridge,0.02260182331618451,0.5258964143426295
AAPL,EMA3-denoised lags,2022,XGB,0.022455491311912747,0.4900398406374502
AAPL,EMA3-denoised lags,2023,Ridge,0.013116344353034756,0.508
AAPL,EMA3-denoised lags,2023,XGB,0.012726396683875159,0.536
AAPL,EMA3-denoised lags,2024,Ridge,0.014294874832619493,0.488
AAPL,EMA3-denoised lags,2024,XGB,0.01411846017495943,0.524
AAPL,median3-denoised lags,2022,Ridge,0.02266060618653959,0.4860557768924303
AAPL,median3-denoised lags,2022,XGB,0.022529936170207227,0.47410358565737054
AAPL,median3-denoised lags,2023,Ridge,0.013179601314780858,0.512
AAPL,median3-denoised lags,2023,XGB,0.012809697461624284,0.552
AAPL,median3-denoised lags,2024,Ridge,0.014406453464383235,0.464
AAPL,median3-denoised lags,2024,XGB,0.014248138509600942,0.528
MSFT,raw lags (baseline),2022,Ridge,0.024250022194962535,0.4900398406374502
MSFT,raw lags (baseline),2022,XGB,0.023539275382876472,0.4541832669322709
MSFT,raw lags (baseline),2023,Ridge,0.015972002364331855,0.544
MSFT,raw lags (baseline),2023,XGB,0.015666091163290013,0.568
MSFT,raw lags (baseline),2024,Ridge,0.012807057469081135,0.548
MSFT,raw lags (baseline),2024,XGB,0.012940331679770633,0.512
MSFT,EMA3-denoised lags,2022,Ridge,0.02413257012093975,0.47808764940239046
MSFT,EMA3-denoised lags,2022,XGB,0.02334987311114498,0.4940239043824701
MSFT,EMA3-denoised lags,2023,Ridge,0.016016989165113012,0.524
MSFT,EMA3-denoised lags,2023,XGB,0.015569196134247794,0.568
MSFT,EMA3-denoised lags,2024,Ridge,0.012770399412021577,0.564
MSFT,EMA3-denoised lags,2024,XGB,0.012916025926926904,0.54
MSFT,median3-denoised lags,2022,Ridge,0.023909609829843952,0.4900398406374502
MSFT,median3-denoised lags,2022,XGB,0.023571888476267226,0.4581673306772908
MSFT,median3-denoised lags,2023,Ridge,0.01595353499438204,0.548
MSFT,median3-denoised lags,2023,XGB,0.015710092052631113,0.58
MSFT,median3-denoised lags,2024,Ridge,0.012889642996356164,0.572
MSFT,median3-denoised lags,2024,XGB,0.012793494791187797,0.544
JPM,raw lags (baseline),2022,Ridge,0.019854737505424252,0.4701195219123506
JPM,raw lags (baseline),2022,XGB,0.01911292954131776,0.4541832669322709
JPM,raw lags (baseline),2023,Ridge,0.01297753751036252,0.536
JPM,raw lags (baseline),2023,XGB,0.013096119949818548,0.552
JPM,raw lags (baseline),2024,Ridge,0.014932759120103278,0.504
JPM,raw lags (baseline),2024,XGB,0.014645009422437707,0.616
JPM,EMA3-denoised lags,2022,Ridge,0.019939607088636385,0.47410358565737054
JPM,EMA3-denoised lags,2022,XGB,0.01923572046668618,0.47808764940239046
JPM,EMA3-denoised lags,2023,Ridge,0.01289525939617212,0.508
JPM,EMA3-denoised lags,2023,XGB,0.013013076259953134,0.508
JPM,EMA3-denoised lags,2024,Ridge,0.014935522471404833,0.532
JPM,EMA3-denoised lags,2024,XGB,0.014703912184936954,0.604
JPM,median3-denoised lags,2022,Ridge,0.0196288307807618,0.4820717131474104
JPM,median3-denoised lags,2022,XGB,0.019256970799336415,0.46613545816733065
JPM,median3-denoised lags,2023,Ridge,0.013099146870490555,0.488
JPM,median3-denoised lags,2023,XGB,0.013061941915237353,0.492
JPM,median3-denoised lags,2024,Ridge,0.014782405005972225,0.496
JPM,median3-denoised lags,2024,XGB,0.014656005838463392,0.592
TSLA,raw lags (baseline),2022,Ridge,0.04338910019825918,0.49800796812749004
TSLA,raw lags (baseline),2022,XGB,0.04302782718819607,0.5338645418326693
TSLA,raw lags (baseline),2023,Ridge,0.032903647743728365,0.524
TSLA,raw lags (baseline),2023,XGB,0.03244050419414464,0.568
TSLA,raw lags (baseline),2024,Ridge,0.03945024664186375,0.512
TSLA,raw lags (baseline),2024,XGB,0.03928610715376207,0.532
TSLA,EMA3-denoised lags,2022,Ridge,0.043435510315017675,0.49800796812749004
TSLA,EMA3-denoised lags,2022,XGB,0.04280365036069863,0.5139442231075697
TSLA,EMA3-denoised lags,2023,Ridge,0.03287469942069786,0.516
TSLA,EMA3-denoised lags,2023,XGB,0.03238305040523905,0.548
TSLA,EMA3-denoised lags,2024,Ridge,0.039418079086535246,0.516
TSLA,EMA3-denoised lags,2024,XGB,0.03957206279505559,0.56
TSLA,median3-denoised lags,2022,Ridge,0.04336389771821418,0.50199203187251
TSLA,median3-denoised lags,2022,XGB,0.0425743305400895,0.5219123505976095
TSLA,median3-denoised lags,2023,Ridge,0.03278967837175012,0.556
TSLA,median3-denoised lags,2023,XGB,0.03263645539071527,0.544
TSLA,median3-denoised lags,2024,Ridge,0.039556460390294854,0.52
TSLA,median3-denoised lags,2024,XGB,0.03981946606113862,0.556
XOM,raw lags (baseline),2022,Ridge,0.022698403240471402,0.5139442231075697
XOM,raw lags (baseline),2022,XGB,0.022437179058027706,0.5537848605577689
XOM,raw lags (baseline),2023,Ridge,0.015899312787340664,0.492
XOM,raw lags (baseline),2023,XGB,0.01577280227616551,0.496
XOM,raw lags (baseline),2024,Ridge,0.01220744952286219,0.48
XOM,raw lags (baseline),2024,XGB,0.012183027057532264,0.488
XOM,EMA3-denoised lags,2022,Ridge,0.02274549997871495,0.5139442231075697
XOM,EMA3-denoised lags,2022,XGB,0.022208343244761033,0.549800796812749
XOM,EMA3-denoised lags,2023,Ridge,0.015875083103691238,0.468
XOM,EMA3-denoised lags,2023,XGB,0.01582757644775713,0.444
XOM,EMA3-denoised lags,2024,Ridge,0.012187090037751397,0.508
XOM,EMA3-denoised lags,2024,XGB,0.01215971894898889,0.48
XOM,median3-denoised lags,2022,Ridge,0.022548602139005697,0.50199203187251
XOM,median3-denoised lags,2022,XGB,0.02245932460041802,0.545816733067729
XOM,median3-denoised lags,2023,Ridge,0.01587658972255572,0.432
XOM,median3-denoised lags,2023,XGB,0.015770560925362626,0.492
XOM,median3-denoised lags,2024,Ridge,0.012122676518383224,0.488
XOM,median3-denoised lags,2024,XGB,0.012093221964942457,0.512
