ticker,set,fold,model,RMSE,DirAcc
AAPL,v2 (15),2022,Ridge,0.023019169493740135,0.5338645418326693
AAPL,v2 (15),2022,XGB,0.022987157802091766,0.47410358565737054
AAPL,v2 (15),2023,Ridge,0.013225900309888282,0.516
AAPL,v2 (15),2023,XGB,0.01268153487503215,0.532
AAPL,v2 (15),2024,Ridge,0.014404407306898119,0.516
AAPL,v2 (15),2024,XGB,0.014203888421403358,0.54
AAPL,v3 (27),2022,Ridge,0.023519342387421618,0.4860557768924303
AAPL,v3 (27),2022,XGB,0.023248145925648563,0.49800796812749004
AAPL,v3 (27),2023,Ridge,0.013106464478020158,0.508
AAPL,v3 (27),2023,XGB,0.012703637116414786,0.532
AAPL,v3 (27),2024,Ridge,0.014341428379368927,0.488
AAPL,v3 (27),2024,XGB,0.014147316768962295,0.544
MSFT,v2 (15),2022,Ridge,0.024579489844245492,0.4900398406374502
MSFT,v2 (15),2022,XGB,0.02352184917221761,0.4860557768924303
MSFT,v2 (15),2023,Ridge,0.015911006633535996,0.54
MSFT,v2 (15),2023,XGB,0.015621190378583068,0.576
MSFT,v2 (15),2024,Ridge,0.012920312792569423,0.52
MSFT,v2 (15),2024,XGB,0.01292910937099693,0.512
MSFT,v3 (27),2022,Ridge,0.0276186383393975,0.4701195219123506
MSFT,v3 (27),2022,XGB,0.03239015837884955,0.4581673306772908
MSFT,v3 (27),2023,Ridge,0.015882037451294625,0.528
MSFT,v3 (27),2023,XGB,0.0158824505458772,0.532
MSFT,v3 (27),2024,Ridge,0.013019593522159801,0.572
MSFT,v3 (27),2024,XGB,0.01307855293390816,0.54
JPM,v2 (15),2022,Ridge,0.020099269979598884,0.47808764940239046
JPM,v2 (15),2022,XGB,0.019146052596934582,0.4541832669322709
JPM,v2 (15),2023,Ridge,0.012869622293123639,0.548
JPM,v2 (15),2023,XGB,0.012817155348005115,0.592
JPM,v2 (15),2024,Ridge,0.014944625749002365,0.488
JPM,v2 (15),2024,XGB,0.014767276419069332,0.564
JPM,v3 (27),2022,Ridge,0.020976836732344337,0.4820717131474104
JPM,v3 (27),2022,XGB,0.01919428459597148,0.47808764940239046
JPM,v3 (27),2023,Ridge,0.013333643715026395,0.504
JPM,v3 (27),2023,XGB,0.013104855536347616,0.548
JPM,v3 (27),2024,Ridge,0.015490979376828761,0.428
JPM,v3 (27),2024,XGB,0.014657425408319612,0.54
TSLA,v2 (15),2022,Ridge,0.04358049027298544,0.5298804780876494
TSLA,v2 (15),2022,XGB,0.04364455167709791,0.4701195219123506
TSLA,v2 (15),2023,Ridge,0.03289214312018198,0.524
TSLA,v2 (15),2023,XGB,0.03237052120980961,0.58
TSLA,v2 (15),2024,Ridge,0.039525338552094384,0.5
TSLA,v2 (15),2024,XGB,0.039527316456324624,0.528
TSLA,v3 (27),2022,Ridge,0.043939366582244066,0.50199203187251
TSLA,v3 (27),2022,XGB,0.04451397800260009,0.4581673306772908
TSLA,v3 (27),2023,Ridge,0.033706617168786944,0.512
TSLA,v3 (27),2023,XGB,0.03264284209272579,0.564
TSLA,v3 (27),2024,Ridge,0.03978549654075869,0.524
TSLA,v3 (27),2024,XGB,0.03924803143884454,0.56
XOM,v2 (15),2022,Ridge,0.02273799594027822,0.5219123505976095
XOM,v2 (15),2022,XGB,0.022866695409006453,0.5219123505976095
XOM,v2 (15),2023,Ridge,0.015948451607747858,0.472
XOM,v2 (15),2023,XGB,0.015768723974191278,0.5
XOM,v2 (15),2024,Ridge,0.01221462643267194,0.476
XOM,v2 (15),2024,XGB,0.012168324703628063,0.492
XOM,v3 (27),2022,Ridge,0.023737218838166443,0.47808764940239046
XOM,v3 (27),2022,XGB,0.023369654528189367,0.5179282868525896
XOM,v3 (27),2023,Ridge,0.015974948981108725,0.476
XOM,v3 (27),2023,XGB,0.015719912413977445,0.476
XOM,v3 (27),2024,Ridge,0.01248404837121606,0.472
XOM,v3 (27),2024,XGB,0.012201127218724319,0.484
