pair,set,fold,model,RMSE,DirAcc,naive
EURUSD,price-only,2022,Ridge,0.00619947739546101,0.49615384615384617,0.5230769230769231
EURUSD,price-only,2022,XGB,0.006290447841264828,0.5307692307692308,0.5230769230769231
EURUSD,price-only,2023,Ridge,0.0047450815584912836,0.5423076923076923,0.5115384615384615
EURUSD,price-only,2023,XGB,0.00477218238536731,0.46923076923076923,0.5115384615384615
EURUSD,price-only,2024,Ridge,0.00369676146234303,0.5076923076923077,0.5346153846153846
EURUSD,price-only,2024,XGB,0.003595265623647803,0.48846153846153845,0.5346153846153846
EURUSD,price+macro-news,2022,Ridge,0.006214731182087598,0.5115384615384615,0.5230769230769231
EURUSD,price+macro-news,2022,XGB,0.006319204437562612,0.48846153846153845,0.5230769230769231
EURUSD,price+macro-news,2023,Ridge,0.004791512926646457,0.47692307692307695,0.5115384615384615
EURUSD,price+macro-news,2023,XGB,0.004869605599562281,0.46153846153846156,0.5115384615384615
EURUSD,price+macro-news,2024,Ridge,0.0037406380778559852,0.4576923076923077,0.5346153846153846
EURUSD,price+macro-news,2024,XGB,0.003560194883484544,0.5038461538461538,0.5346153846153846
GBPUSD,price-only,2022,Ridge,0.007793706839349884,0.49615384615384617,0.5153846153846153
GBPUSD,price-only,2022,XGB,0.007873372266043621,0.5153846153846153,0.5153846153846153
GBPUSD,price-only,2023,Ridge,0.005183297651428558,0.5153846153846153,0.5
GBPUSD,price-only,2023,XGB,0.005230243655761357,0.48846153846153845,0.5
GBPUSD,price-only,2024,Ridge,0.003936229605119264,0.5346153846153846,0.46923076923076923
GBPUSD,price-only,2024,XGB,0.0039663842481882676,0.4346153846153846,0.46923076923076923
GBPUSD,price+macro-news,2022,Ridge,0.007757807364602981,0.5153846153846153,0.5153846153846153
GBPUSD,price+macro-news,2022,XGB,0.007736185436473233,0.5038461538461538,0.5153846153846153
GBPUSD,price+macro-news,2023,Ridge,0.005236807846374055,0.5115384615384615,0.5
GBPUSD,price+macro-news,2023,XGB,0.005270510721306754,0.4807692307692308,0.5
GBPUSD,price+macro-news,2024,Ridge,0.003987531275010361,0.49615384615384617,0.46923076923076923
GBPUSD,price+macro-news,2024,XGB,0.003963132514908041,0.45,0.46923076923076923
