ticker,set,fold,model,RMSE,DirAcc
AAPL,price-only,2025-07,Ridge,0.005487961140310193,0.48423423423423423
AAPL,price-only,2025-07,XGB,0.005524847737847851,0.46621621621621623
AAPL,price-only,2025-10,Ridge,0.0044616287608760866,0.49318181818181817
AAPL,price-only,2025-10,XGB,0.004461894103737574,0.5227272727272727
AAPL,price-only,2026-01,Ridge,0.0055440866599456955,0.47540983606557374
AAPL,price-only,2026-01,XGB,0.005555039321354566,0.47540983606557374
AAPL,price-only,2026-04,Ridge,0.006947525704777419,0.4788732394366197
AAPL,price-only,2026-04,XGB,0.006947186166882288,0.5563380281690141
AAPL,price+news,2025-07,Ridge,0.00549607950759181,0.4954954954954955
AAPL,price+news,2025-07,XGB,0.005490828649379804,0.4572072072072072
AAPL,price+news,2025-10,Ridge,0.004476644642998706,0.5181818181818182
AAPL,price+news,2025-10,XGB,0.004536164704645995,0.5318181818181819
AAPL,price+news,2026-01,Ridge,0.005543176220239639,0.46604215456674475
AAPL,price+news,2026-01,XGB,0.005563680531510555,0.4707259953161593
AAPL,price+news,2026-04,Ridge,0.0069537539991851695,0.4835680751173709
AAPL,price+news,2026-04,XGB,0.006982487255188309,0.528169014084507
MSFT,price-only,2025-07,Ridge,0.004007496876094325,0.5180180180180181
MSFT,price-only,2025-07,XGB,0.00411454629567812,0.4594594594594595
MSFT,price-only,2025-10,Ridge,0.005001069779776452,0.5477272727272727
MSFT,price-only,2025-10,XGB,0.005115123049443807,0.5272727272727272
MSFT,price-only,2026-01,Ridge,0.008454857565571294,0.5011709601873536
MSFT,price-only,2026-01,XGB,0.008460083717954998,0.4964871194379391
MSFT,price-only,2026-04,Ridge,0.007944104395063944,0.44366197183098594
MSFT,price-only,2026-04,XGB,0.007971740404961134,0.48826291079812206
MSFT,price+news,2025-07,Ridge,0.004033248674199499,0.527027027027027
MSFT,price+news,2025-07,XGB,0.004121092225552552,0.481981981981982
MSFT,price+news,2025-10,Ridge,0.0050110450927439735,0.5113636363636364
MSFT,price+news,2025-10,XGB,0.005089216393482199,0.525
MSFT,price+news,2026-01,Ridge,0.008450323729630907,0.531615925058548
MSFT,price+news,2026-01,XGB,0.00841680283052333,0.531615925058548
MSFT,price+news,2026-04,Ridge,0.007957426890387156,0.44835680751173707
MSFT,price+news,2026-04,XGB,0.007873471038235973,0.5234741784037559
JPM,price-only,2025-07,Ridge,0.00405407713388728,0.5202702702702703
JPM,price-only,2025-07,XGB,0.004078638259445797,0.5337837837837838
JPM,price-only,2025-10,Ridge,0.005667198624890261,0.5068181818181818
JPM,price-only,2025-10,XGB,0.005667309145451767,0.5136363636363637
JPM,price-only,2026-01,Ridge,0.007091744266102204,0.48243559718969553
JPM,price-only,2026-01,XGB,0.007194662504557278,0.4894613583138173
JPM,price-only,2026-04,Ridge,0.0052704662602868005,0.528169014084507
JPM,price-only,2026-04,XGB,0.0052367331335450365,0.5211267605633803
JPM,price+news,2025-07,Ridge,0.004063844481261678,0.5225225225225225
JPM,price+news,2025-07,XGB,0.0040856301879584065,0.536036036036036
JPM,price+news,2025-10,Ridge,0.005688504657869824,0.49318181818181817
JPM,price+news,2025-10,XGB,0.005676003777291051,0.49772727272727274
JPM,price+news,2026-01,Ridge,0.007084157125360789,0.48243559718969553
JPM,price+news,2026-01,XGB,0.007203104280687345,0.5035128805620609
JPM,price+news,2026-04,Ridge,0.005265140397441866,0.5070422535211268
JPM,price+news,2026-04,XGB,0.005242753996950926,0.5070422535211268
TSLA,price-only,2025-07,Ridge,0.011262701780145965,0.5247747747747747
TSLA,price-only,2025-07,XGB,0.01142680966174508,0.46621621621621623
TSLA,price-only,2025-10,Ridge,0.011102775654069424,0.4659090909090909
TSLA,price-only,2025-10,XGB,0.011296246285457287,0.45
TSLA,price-only,2026-01,Ridge,0.009637019203383794,0.5292740046838408
TSLA,price-only,2026-01,XGB,0.00961381499030389,0.4847775175644028
TSLA,price-only,2026-04,Ridge,0.01064972345935167,0.4953051643192488
TSLA,price-only,2026-04,XGB,0.010654150183523855,0.5046948356807511
TSLA,price+news,2025-07,Ridge,0.011503016893337386,0.5067567567567568
TSLA,price+news,2025-07,XGB,0.01171193879029736,0.48873873873873874
TSLA,price+news,2025-10,Ridge,0.011110573112319248,0.5045454545454545
TSLA,price+news,2025-10,XGB,0.011143727193626964,0.46136363636363636
TSLA,price+news,2026-01,Ridge,0.009616987474330816,0.49882903981264637
TSLA,price+news,2026-01,XGB,0.009635108833662049,0.4637002341920375
TSLA,price+news,2026-04,Ridge,0.01077840278868867,0.4835680751173709
TSLA,price+news,2026-04,XGB,0.010775285630271006,0.48826291079812206
XOM,price-only,2025-07,Ridge,0.004605342583114464,0.509009009009009
XOM,price-only,2025-07,XGB,0.004670572316586563,0.49324324324324326
XOM,price-only,2025-10,Ridge,0.0046917596600575895,0.5522727272727272
XOM,price-only,2025-10,XGB,0.00468453057477854,0.5318181818181819
XOM,price-only,2026-01,Ridge,0.006874017315249081,0.5058548009367682
XOM,price-only,2026-01,XGB,0.006801883739256049,0.5292740046838408
XOM,price-only,2026-04,Ridge,0.007875328396893684,0.539906103286385
XOM,price-only,2026-04,XGB,0.008134847098563066,0.5070422535211268
XOM,price+news,2025-07,Ridge,0.004604507810059409,0.5
