ticker,model,fold,RMSE,DirAcc
AAPL,MLP(ens5),2022,0.02283636207733486,0.47410358565737054
AAPL,XGB,2022,0.022368256531410696,0.47410358565737054
AAPL,MLP+XGB,2022,0.022523254832579474,0.46215139442231074
AAPL,MLP(ens5),2023,0.012751700580824683,0.548
AAPL,XGB,2023,0.012758660085269602,0.532
AAPL,MLP+XGB,2023,0.012734240137009188,0.552
AAPL,MLP(ens5),2024,0.014115305436285423,0.556
AAPL,XGB,2024,0.014200583648376007,0.548
AAPL,MLP+XGB,2024,0.014134581871676424,0.552
MSFT,MLP(ens5),2022,0.022975922902142586,0.44223107569721115
MSFT,XGB,2022,0.023539275382876472,0.4541832669322709
MSFT,MLP+XGB,2022,0.023094102701692206,0.46613545816733065
MSFT,MLP(ens5),2023,0.015790056937091953,0.516
MSFT,XGB,2023,0.015666091163290013,0.568
MSFT,MLP+XGB,2023,0.015699920022345642,0.552
MSFT,MLP(ens5),2024,0.012713190479959616,0.56
MSFT,XGB,2024,0.012940331679770633,0.512
MSFT,MLP+XGB,2024,0.012766424979933716,0.524
JPM,MLP(ens5),2022,0.01914405431152391,0.47410358565737054
JPM,XGB,2022,0.01911292954131776,0.4541832669322709
JPM,MLP+XGB,2022,0.019057195450019344,0.47410358565737054
JPM,MLP(ens5),2023,0.013000120696392219,0.572
JPM,XGB,2023,0.013096119949818548,0.552
JPM,MLP+XGB,2023,0.01300816554034098,0.572
JPM,MLP(ens5),2024,0.014616146895016459,0.552
JPM,XGB,2024,0.014645009422437707,0.616
JPM,MLP+XGB,2024,0.014604520970429642,0.576
TSLA,MLP(ens5),2022,0.04333530732357169,0.5139442231075697
TSLA,XGB,2022,0.04302782718819607,0.5338645418326693
TSLA,MLP+XGB,2022,0.043033237909229784,0.5298804780876494
TSLA,MLP(ens5),2023,0.03266046790284433,0.532
TSLA,XGB,2023,0.03244050419414464,0.568
TSLA,MLP+XGB,2023,0.032449727053256626,0.576
TSLA,MLP(ens5),2024,0.03944222551991339,0.488
TSLA,XGB,2024,0.03928610715376207,0.532
TSLA,MLP+XGB,2024,0.03927600466149692,0.524
XOM,MLP(ens5),2022,0.022392804304630823,0.5537848605577689
XOM,XGB,2022,0.022437179058027706,0.5537848605577689
XOM,MLP+XGB,2022,0.022346121333384074,0.5378486055776892
XOM,MLP(ens5),2023,0.01587353576272022,0.5
XOM,XGB,2023,0.01577280227616551,0.496
XOM,MLP+XGB,2023,0.01579620809914009,0.48
XOM,MLP(ens5),2024,0.012094104155061422,0.472
XOM,XGB,2024,0.012183027057532264,0.488
XOM,MLP+XGB,2024,0.012121983205948884,0.476
