ticker,set,fold,model,RMSE,DirAcc
AAPL,price-only,2022,Ridge,0.022694390608331946,0.5139442231075697
AAPL,price-only,2022,XGB,0.022368256531410696,0.47410358565737054
AAPL,price-only,2023,Ridge,0.01310004178349027,0.508
AAPL,price-only,2023,XGB,0.012758660085269602,0.532
AAPL,price-only,2024,Ridge,0.014293226728490514,0.508
AAPL,price-only,2024,XGB,0.014200583648376007,0.548
AAPL,price+sent,2022,Ridge,0.022815839309186813,0.5298804780876494
AAPL,price+sent,2022,XGB,0.02255464848758357,0.4940239043824701
AAPL,price+sent,2023,Ridge,0.01313319338300338,0.52
AAPL,price+sent,2023,XGB,0.012813846152654714,0.524
AAPL,price+sent,2024,Ridge,0.014305726275260782,0.504
AAPL,price+sent,2024,XGB,0.014184242817231373,0.544
MSFT,price-only,2022,Ridge,0.024250022194962535,0.4900398406374502
MSFT,price-only,2022,XGB,0.023539275382876472,0.4541832669322709
MSFT,price-only,2023,Ridge,0.015972002364331855,0.544
MSFT,price-only,2023,XGB,0.015666091163290013,0.568
MSFT,price-only,2024,Ridge,0.012807057469081135,0.548
MSFT,price-only,2024,XGB,0.012940331679770633,0.512
MSFT,price+sent,2022,Ridge,0.024379320225571453,0.4860557768924303
MSFT,price+sent,2022,XGB,0.023601421120456025,0.44621513944223107
MSFT,price+sent,2023,Ridge,0.016140439353216702,0.54
MSFT,price+sent,2023,XGB,0.015690581508320152,0.564
MSFT,price+sent,2024,Ridge,0.012876486913755031,0.528
MSFT,price+sent,2024,XGB,0.012921486007376451,0.524
JPM,price-only,2022,Ridge,0.019854737505424252,0.4701195219123506
JPM,price-only,2022,XGB,0.01911292954131776,0.4541832669322709
JPM,price-only,2023,Ridge,0.01297753751036252,0.536
JPM,price-only,2023,XGB,0.013096119949818548,0.552
JPM,price-only,2024,Ridge,0.014932759120103278,0.504
JPM,price-only,2024,XGB,0.014645009422437707,0.616
JPM,price+sent,2022,Ridge,0.01986067005848611,0.4820717131474104
JPM,price+sent,2022,XGB,0.019131028087312308,0.450199203187251
JPM,price+sent,2023,Ridge,0.013013934731211166,0.5
JPM,price+sent,2023,XGB,0.01305926091707252,0.548
JPM,price+sent,2024,Ridge,0.014875816876997412,0.504
JPM,price+sent,2024,XGB,0.014604479351368702,0.64
TSLA,price-only,2022,Ridge,0.04338910019825918,0.49800796812749004
TSLA,price-only,2022,XGB,0.04302782718819607,0.5338645418326693
TSLA,price-only,2023,Ridge,0.032903647743728365,0.524
TSLA,price-only,2023,XGB,0.03244050419414464,0.568
TSLA,price-only,2024,Ridge,0.03945024664186375,0.512
TSLA,price-only,2024,XGB,0.03928610715376207,0.532
TSLA,price+sent,2022,Ridge,0.043726672287923936,0.50199203187251
TSLA,price+sent,2022,XGB,0.043021423970314505,0.5059760956175299
TSLA,price+sent,2023,Ridge,0.03285205856881566,0.52
TSLA,price+sent,2023,XGB,0.032487215942218726,0.548
TSLA,price+sent,2024,Ridge,0.03953037073120973,0.52
TSLA,price+sent,2024,XGB,0.039411826366498835,0.556
XOM,price-only,2022,Ridge,0.022698403240471402,0.5139442231075697
XOM,price-only,2022,XGB,0.022437179058027706,0.5537848605577689
XOM,price-only,2023,Ridge,0.015899312787340664,0.492
XOM,price-only,2023,XGB,0.01577280227616551,0.496
XOM,price-only,2024,Ridge,0.01220744952286219,0.48
XOM,price-only,2024,XGB,0.012183027057532264,0.488
XOM,price+sent,2022,Ridge,0.02258263404228023,0.5338645418326693
XOM,price+sent,2022,XGB,0.02260420364679508,0.5298804780876494
XOM,price+sent,2023,Ridge,0.01594257847184859,0.492
XOM,price+sent,2023,XGB,0.015695851261108916,0.512
XOM,price+sent,2024,Ridge,0.012399507464171847,0.452
XOM,price+sent,2024,XGB,0.012192881852357493,0.468
