group,ticker,fold,k,DirAcc,RMSE,naive,edge
DEVELOPMENT,AAPL,2022,5,0.49800796812749004,0.02260062116239461,0.46613545816733065,3.1872509960159388
DEVELOPMENT,AAPL,2022,8,0.50199203187251,0.0223978728388977,0.46613545816733065,3.5856573705179304
DEVELOPMENT,AAPL,2022,10,0.49800796812749004,0.02243743946863766,0.46613545816733065,3.1872509960159388
DEVELOPMENT,AAPL,2022,12,0.5298804780876494,0.022461127144105593,0.46613545816733065,6.374501992031872
DEVELOPMENT,AAPL,2022,15,0.4940239043824701,0.022429079738883567,0.46613545816733065,2.788844621513947
DEVELOPMENT,AAPL,2023,5,0.528,0.012853693450742795,0.56,-3.200000000000003
DEVELOPMENT,AAPL,2023,8,0.524,0.012796450713940567,0.56,-3.600000000000003
DEVELOPMENT,AAPL,2023,10,0.516,0.012755489872825761,0.56,-4.400000000000004
DEVELOPMENT,AAPL,2023,12,0.524,0.01277472715757294,0.56,-3.600000000000003
DEVELOPMENT,AAPL,2023,15,0.516,0.012784175738761573,0.56,-4.400000000000004
DEVELOPMENT,AAPL,2024,5,0.56,0.014536725979227496,0.568,-0.7999999999999896
DEVELOPMENT,AAPL,2024,8,0.552,0.014235156121262726,0.568,-1.5999999999999903
DEVELOPMENT,AAPL,2024,10,0.54,0.014275265769066148,0.568,-2.7999999999999914
DEVELOPMENT,AAPL,2024,12,0.556,0.014236932682595396,0.568,-1.19999999999999
DEVELOPMENT,AAPL,2024,15,0.548,0.014216221067861861,0.568,-1.9999999999999907
DEVELOPMENT,MSFT,2022,5,0.4541832669322709,0.023513782488379105,0.46215139442231074,-0.7968127490039834
DEVELOPMENT,MSFT,2022,8,0.44621513944223107,0.023728590628007588,0.46215139442231074,-1.5936254980079667
DEVELOPMENT,MSFT,2022,10,0.44223107569721115,0.023719950280450725,0.46215139442231074,-1.9920318725099584
DEVELOPMENT,MSFT,2022,12,0.44621513944223107,0.02354135629009821,0.46215139442231074,-1.5936254980079667
DEVELOPMENT,MSFT,2022,15,0.44621513944223107,0.023588118616848026,0.46215139442231074,-1.5936254980079667
DEVELOPMENT,MSFT,2023,5,0.58,0.015770680760607093,0.552,2.7999999999999914
DEVELOPMENT,MSFT,2023,8,0.584,0.015650987916933905,0.552,3.1999999999999917
DEVELOPMENT,MSFT,2023,10,0.576,0.015696472471907807,0.552,2.399999999999991
DEVELOPMENT,MSFT,2023,12,0.592,0.0156244180279167,0.552,3.9999999999999925
DEVELOPMENT,MSFT,2023,15,0.572,0.01564883960997357,0.552,1.9999999999999907
DEVELOPMENT,MSFT,2024,5,0.524,0.012925547339105184,0.54,-1.6000000000000014
DEVELOPMENT,MSFT,2024,8,0.508,0.012900704959217729,0.54,-3.200000000000003
DEVELOPMENT,MSFT,2024,10,0.504,0.012897222582798951,0.54,-3.600000000000003
DEVELOPMENT,MSFT,2024,12,0.528,0.012826474589589782,0.54,-1.200000000000001
DEVELOPMENT,MSFT,2024,15,0.524,0.012918159390429649,0.54,-1.6000000000000014
DEVELOPMENT,JPM,2022,5,0.450199203187251,0.019157889720182193,0.47410358565737054,-2.3904382470119554
DEVELOPMENT,JPM,2022,8,0.46613545816733065,0.019130184287257795,0.47410358565737054,-0.7968127490039889
DEVELOPMENT,JPM,2022,10,0.4541832669322709,0.019175261391410486,0.47410358565737054,-1.992031872509964
DEVELOPMENT,JPM,2022,12,0.4581673306772908,0.019181561473257433,0.47410358565737054,-1.5936254980079723
DEVELOPMENT,JPM,2022,15,0.4701195219123506,0.019042784698024937,0.47410358565737054,-0.3984063745019917
DEVELOPMENT,JPM,2023,5,0.484,0.013521949767689015,0.568,-8.399999999999997
DEVELOPMENT,JPM,2023,8,0.54,0.013139762913573985,0.568,-2.7999999999999914
