model,ticker,fold,RMSE,DirAcc
SVR (RBF),AAPL,2022,0.023128647503692902,0.50199203187251
SVR (RBF),AAPL,2023,0.01282419255248264,0.52
SVR (RBF),AAPL,2024,0.01443405525929881,0.504
SVR (RBF),MSFT,2022,0.02466117026678454,0.46613545816733065
SVR (RBF),MSFT,2023,0.01590316868545396,0.512
SVR (RBF),MSFT,2024,0.013498952032227203,0.46
SVR (RBF),JPM,2022,0.01974428171357254,0.4820717131474104
SVR (RBF),JPM,2023,0.013288082664203862,0.568
SVR (RBF),JPM,2024,0.014812646823385726,0.548
SVR (RBF),TSLA,2022,0.043539319417257555,0.5059760956175299
SVR (RBF),TSLA,2023,0.03335101428126841,0.536
SVR (RBF),TSLA,2024,0.04030237334405771,0.52
SVR (RBF),XOM,2022,0.02291960529119523,0.5219123505976095
SVR (RBF),XOM,2023,0.01649861070741285,0.508
SVR (RBF),XOM,2024,0.012606205930244746,0.464
SVR (linear),AAPL,2022,0.022583739100962355,0.47808764940239046
SVR (linear),AAPL,2023,0.013034473177072521,0.528
SVR (linear),AAPL,2024,0.014212545686629791,0.544
SVR (linear),MSFT,2022,0.024222351620228233,0.4701195219123506
SVR (linear),MSFT,2023,0.015780209730901,0.564
SVR (linear),MSFT,2024,0.012883393799904072,0.532
SVR (linear),JPM,2022,0.019361126480503053,0.4701195219123506
SVR (linear),JPM,2023,0.013027668735852302,0.556
SVR (linear),JPM,2024,0.014819526603982301,0.508
SVR (linear),TSLA,2022,0.04249114319537173,0.50199203187251
SVR (linear),TSLA,2023,0.03286810073421057,0.548
SVR (linear),TSLA,2024,0.039396576989698055,0.52
SVR (linear),XOM,2022,0.0227948404149447,0.4860557768924303
SVR (linear),XOM,2023,0.01588589711968175,0.512
SVR (linear),XOM,2024,0.01221698169643312,0.516
SVR (poly-2),AAPL,2022,0.022838288651234946,0.49800796812749004
SVR (poly-2),AAPL,2023,0.012927550885659424,0.524
SVR (poly-2),AAPL,2024,0.015558626495482206,0.492
SVR (poly-2),MSFT,2022,0.023997187737316277,0.46215139442231074
SVR (poly-2),MSFT,2023,0.01661924633695559,0.568
SVR (poly-2),MSFT,2024,0.013607923243993826,0.452
SVR (poly-2),JPM,2022,0.020741670270653274,0.46215139442231074
SVR (poly-2),JPM,2023,0.013799087428195004,0.528
SVR (poly-2),JPM,2024,0.01504851978975169,0.596
SVR (poly-2),TSLA,2022,0.043342135113951616,0.5776892430278885
SVR (poly-2),TSLA,2023,0.03391732742061508,0.468
SVR (poly-2),TSLA,2024,0.040385336569178545,0.492
SVR (poly-2),XOM,2022,0.02303109525930419,0.5258964143426295
SVR (poly-2),XOM,2023,0.0165115560585535,0.5
SVR (poly-2),XOM,2024,0.012356867985681612,0.532
XGBoost (tuned),AAPL,2022,0.022368256531410696,0.47410358565737054
XGBoost (tuned),AAPL,2023,0.012758660085269602,0.532
XGBoost (tuned),AAPL,2024,0.014200583648376007,0.548
XGBoost (tuned),MSFT,2022,0.023539275382876472,0.4541832669322709
XGBoost (tuned),MSFT,2023,0.015666091163290013,0.568
XGBoost (tuned),MSFT,2024,0.012940331679770633,0.512
XGBoost (tuned),JPM,2022,0.01911292954131776,0.4541832669322709
XGBoost (tuned),JPM,2023,0.013096119949818548,0.552
XGBoost (tuned),JPM,2024,0.014645009422437707,0.616
XGBoost (tuned),TSLA,2022,0.04302782718819607,0.5338645418326693
XGBoost (tuned),TSLA,2023,0.03244050419414464,0.568
XGBoost (tuned),TSLA,2024,0.03928610715376207,0.532
XGBoost (tuned),XOM,2022,0.022437179058027706,0.5537848605577689
XGBoost (tuned),XOM,2023,0.01577280227616551,0.496
XGBoost (tuned),XOM,2024,0.012183027057532264,0.488
