train_start,ticker,fold,train_days,DirAcc,RMSE,naive,edge_pp
2011 (~11-13 yrs),AAPL,2022,2769,0.50199203187251,0.02246655796899096,0.46613545816733065,3.5856573705179304
2011 (~11-13 yrs),AAPL,2023,3020,0.524,0.012745252943908656,0.56,-3.600000000000003
2011 (~11-13 yrs),AAPL,2024,3270,0.5816733067729084,0.013942284221491283,0.5657370517928287,1.5936254980079667
2011 (~11-13 yrs),MSFT,2022,2769,0.4541832669322709,0.02245938591959208,0.46215139442231074,-0.7968127490039834
2011 (~11-13 yrs),MSFT,2023,3020,0.576,0.015707197411534663,0.552,2.399999999999991
2011 (~11-13 yrs),MSFT,2024,3270,0.5298804780876494,0.012778763790210744,0.5378486055776892,-0.7968127490039834
2011 (~11-13 yrs),JPM,2022,2769,0.4342629482071713,0.01880106190329458,0.47410358565737054,-3.984063745019922
2011 (~11-13 yrs),JPM,2023,3020,0.58,0.012902984936883554,0.568,1.200000000000001
2011 (~11-13 yrs),JPM,2024,3270,0.5577689243027888,0.014824369053476604,0.5737051792828686,-1.5936254980079778
2011 (~11-13 yrs),TSLA,2022,2769,0.4940239043824701,0.043263893617090085,0.4820717131474104,1.195219123505975
2011 (~11-13 yrs),TSLA,2023,3020,0.544,0.032626486787421805,0.548,-0.40000000000000036
2011 (~11-13 yrs),TSLA,2024,3270,0.50199203187251,0.03931248754081436,0.5059760956175299,-0.3984063745019917
2011 (~11-13 yrs),XOM,2022,2769,0.5219123505976095,0.02237293338083878,0.5737051792828686,-5.1792828685259025
2011 (~11-13 yrs),XOM,2023,3020,0.524,0.015670575532467625,0.508,1.6000000000000014
2011 (~11-13 yrs),XOM,2024,3270,0.5139442231075697,0.012142903639250826,0.49800796812749004,1.5936254980079667
2014 (~8-10 yrs),AAPL,2022,2015,0.5099601593625498,0.022597712361202876,0.46613545816733065,4.382470119521914
2014 (~8-10 yrs),AAPL,2023,2266,0.536,0.012780979341613869,0.56,-2.400000000000002
2014 (~8-10 yrs),AAPL,2024,2516,0.5378486055776892,0.014035394898592785,0.5657370517928287,-2.788844621513953
2014 (~8-10 yrs),MSFT,2022,2015,0.4262948207171315,0.02312676413512626,0.46215139442231074,-3.585657370517925
2014 (~8-10 yrs),MSFT,2023,2266,0.56,0.01574744339127636,0.552,0.8000000000000007
2014 (~8-10 yrs),MSFT,2024,2516,0.549800796812749,0.01297238398846226,0.5378486055776892,1.195219123505975
2014 (~8-10 yrs),JPM,2022,2015,0.4701195219123506,0.019030540200966478,0.47410358565737054,-0.3984063745019917
2014 (~8-10 yrs),JPM,2023,2266,0.556,0.013311063551737747,0.568,-1.19999999999999
2014 (~8-10 yrs),JPM,2024,2516,0.5537848605577689,0.014768107723107757,0.5737051792828686,-1.9920318725099695
2014 (~8-10 yrs),TSLA,2022,2015,0.4900398406374502,0.042906193263000866,0.4820717131474104,0.7968127490039834
2014 (~8-10 yrs),TSLA,2023,2266,0.62,0.03233124274868949,0.548,7.199999999999996
2014 (~8-10 yrs),TSLA,2024,2516,0.5378486055776892,0.039242742237780785,0.5059760956175299,3.1872509960159334
2014 (~8-10 yrs),XOM,2022,2015,0.545816733067729,0.022244475427943236,0.5737051792828686,-2.788844621513953
2014 (~8-10 yrs),XOM,2023,2266,0.488,0.015736164857159812,0.508,-2.0000000000000018
2014 (~8-10 yrs),XOM,2024,2516,0.450199203187251,0.012141470670900708,0.49800796812749004,-4.7808764940239055
"2018 (~4-6 yrs, current)",AAPL,2022,1008,0.50199203187251,0.02248814294397037,0.46613545816733065,3.5856573705179304
"2018 (~4-6 yrs, current)",AAPL,2023,1259,0.516,0.01272943977774821,0.56,-4.400000000000004
"2018 (~4-6 yrs, current)",AAPL,2024,1509,0.5338645418326693,0.01415873686188405,0.5657370517928287,-3.1872509960159445
"2018 (~4-6 yrs, current)",MSFT,2022,1008,0.44621513944223107,0.023552681450660067,0.46215139442231074,-1.5936254980079667
"2018 (~4-6 yrs, current)",MSFT,2023,1259,0.584,0.01566692673680464,0.552,3.1999999999999917
"2018 (~4-6 yrs, current)",MSFT,2024,1509,0.5378486055776892,0.012973540632419428,0.5378486055776892,0.0
"2018 (~4-6 yrs, current)",JPM,2022,1008,0.46215139442231074,0.01912737321275483,0.47410358565737054,-1.1952191235059806
"2018 (~4-6 yrs, current)",JPM,2023,1259,0.536,0.01298520644993381,0.568,-3.1999999999999917
"2018 (~4-6 yrs, current)",JPM,2024,1509,0.5976095617529881,0.014666446079487937,0.5737051792828686,2.39043824701195
"2018 (~4-6 yrs, current)",TSLA,2022,1008,0.4900398406374502,0.04317948372666295,0.4820717131474104,0.7968127490039834
"2018 (~4-6 yrs, current)",TSLA,2023,1259,0.536,0.03226683534251655,0.548,-1.200000000000001
"2018 (~4-6 yrs, current)",TSLA,2024,1509,0.5258964143426295,0.039156610170082366,0.5059760956175299,1.9920318725099584
"2018 (~4-6 yrs, current)",XOM,2022,1008,0.5258964143426295,0.022459920615220647,0.5737051792828686,-4.780876494023911
"2018 (~4-6 yrs, current)",XOM,2023,1259,0.496,0.01574380948938406,0.508,-1.200000000000001
"2018 (~4-6 yrs, current)",XOM,2024,1509,0.50199203187251,0.01220614526953302,0.49800796812749004,0.3984063745019917
2020 (~2-4 yrs),AAPL,2022,505,0.4860557768924303,0.0230314426319662,0.46613545816733065,1.992031872509964
2020 (~2-4 yrs),AAPL,2023,756,0.528,0.012789029511185665,0.56,-3.200000000000003
2020 (~2-4 yrs),AAPL,2024,1006,0.5258964143426295,0.0142226822282858,0.5657370517928287,-3.984063745019928
2020 (~2-4 yrs),MSFT,2022,505,0.4581673306772908,0.023734416002330044,0.46215139442231074,-0.3984063745019917
2020 (~2-4 yrs),MSFT,2023,756,0.548,0.015780608846940634,0.552,-0.40000000000000036
2020 (~2-4 yrs),MSFT,2024,1006,0.5537848605577689,0.012915450859720757,0.5378486055776892,1.5936254980079667
2020 (~2-4 yrs),JPM,2022,505,0.43824701195219123,0.019411454959138735,0.47410358565737054,-3.5856573705179304
2020 (~2-4 yrs),JPM,2023,756,0.492,0.01286396068544842,0.568,-7.599999999999996
2020 (~2-4 yrs),JPM,2024,1006,0.5856573705179283,0.014831305775196445,0.5737051792828686,1.195219123505975
2020 (~2-4 yrs),TSLA,2022,505,0.4940239043824701,0.043791581158937366,0.4820717131474104,1.195219123505975
2020 (~2-4 yrs),TSLA,2023,756,0.528,0.03271927071942079,0.548,-2.0000000000000018
2020 (~2-4 yrs),TSLA,2024,1006,0.5139442231075697,0.03941267008782941,0.5059760956175299,0.7968127490039834
2020 (~2-4 yrs),XOM,2022,505,0.4900398406374502,0.02308870193256965,0.5737051792828686,-8.366533864541836
2020 (~2-4 yrs),XOM,2023,756,0.512,0.015891053726148317,0.508,0.40000000000000036
2020 (~2-4 yrs),XOM,2024,1006,0.450199203187251,0.012237391011370774,0.49800796812749004,-4.7808764940239055
